,Date_Time_UTC,pH_total,pH_QCflag,O2_umol_per_kg,Temp_C,Sal_PSS,Pressure_dbar,time,station,long,lat,TAlk_molkg,Omega_Ar
1,1900-01-05 04:48:00,NA,0,0,NA,NA,NA,NA,AH,-117.32750,33.14250,0.00225,NA
2,2018-04-17 18:30:24,8.759043864,0,266.7505135,13.4374,33.5586,5.336,1523989824,AH,-117.32750,33.14250,0.00225,6.77744529681856
3,2018-04-17 19:00:25,8.770786121,0,266.6108152,13.4879,33.5614,5.416,1523991625,AH,-117.32750,33.14250,0.00225,6.87775992045584
4,2018-04-17 19:30:25,8.760905921,0,264.6061282,13.538,33.5589,5.388,1523993425,AH,-117.32750,33.14250,0.00225,6.80706351252585
5,2018-04-17 20:02:19,8.750936284,0,263.3598444,13.5492,33.5621,5.354,1523995339,AH,-117.32750,33.14250,0.00225,6.7300200432061
6,2018-04-17 20:32:51,8.752061812,0,265.0145363,13.653,33.5635,5.219,1523997171,AH,-117.32750,33.14250,0.00225,6.75595743989024
7,2018-04-17 21:03:28,8.748603169,0,266.7147251,13.774,33.5598,5.144,1523999008,AH,-117.32750,33.14250,0.00225,6.74737082479675
8,2018-04-17 21:34:01,8.74855301,0,267.5352087,13.81,33.5417,5.022,1524000841,AH,-117.32750,33.14250,0.00225,6.75277976267814
9,2018-04-17 22:30:25,8.769926739,0,269.5265518,14.5814,33.5667,4.822,1524004225,AH,-117.32750,33.14250,0.00225,7.04347602859373
10,2018-04-17 23:00:24,8.776819417,0,270.2036846,14.7945,33.5674,4.743,1524006024,AH,-117.32750,33.14250,0.00225,7.13179861351705
11,2018-04-17 23:30:25,8.783798908,0,271.2242666,14.9678,33.5678,4.676,1524007825,AH,-117.32750,33.14250,0.00225,7.21460544063243
12,2018-04-18 00:00:25,8.782840109,0,271.0261417,14.9753,33.567,4.654,1524009625,AH,-117.32750,33.14250,0.00225,7.20830800387971
13,2018-04-18 00:30:24,8.771796065,0,268.6403963,14.7429,33.5651,4.676,1524011424,AH,-117.32750,33.14250,0.00225,7.0844086145028
14,2018-04-18 01:00:25,8.776711598,0,269.8046211,14.8978,33.5534,4.698,1524013225,AH,-117.32750,33.14250,0.00225,7.14672756413526
15,2018-04-18 01:30:25,8.782642071,0,271.0241768,15.0397,33.5617,4.749,1524015025,AH,-117.32750,33.14250,0.00225,7.21558092797008
16,2018-04-18 02:00:24,8.766410162,0,268.3915959,14.5826,33.5691,4.818,1524016824,AH,-117.32750,33.14250,0.00225,7.01578782679546
17,2018-04-18 02:30:25,8.777196059,0,270.4849804,15.1668,33.4585,4.956,1524018625,AH,-117.32750,33.14250,0.00225,7.18624973398483
18,2018-04-18 03:00:25,8.756280267,0,260.794126,14.4857,33.5448,5.096,1524020425,AH,-117.32750,33.14250,0.00225,6.91687457045904
19,2018-04-18 03:30:24,8.751811333,0,258.6175044,14.3363,33.5517,5.282,1524022224,AH,-117.32750,33.14250,0.00225,6.85707250169775
20,2018-04-18 04:00:25,8.755406708,0,260.3866349,14.3283,33.5524,5.507,1524024025,AH,-117.32750,33.14250,0.00225,6.88250114127145
21,2018-04-18 04:30:25,8.752437235,0,259.9846291,14.2644,33.5559,5.69,1524025825,AH,-117.32750,33.14250,0.00225,6.84764690166237
22,2018-04-18 05:00:24,8.74737813,0,257.070706,14.2463,33.5404,5.777,1524027624,AH,-117.32750,33.14250,0.00225,6.80328907737742
23,2018-04-18 05:30:25,8.735419272,0,247.9285061,13.9647,33.5687,5.898,1524029425,AH,-117.32750,33.14250,0.00225,6.66550071512467
24,2018-04-18 06:00:25,8.733282481,0,245.2183585,13.825,33.5541,6.031,1524031225,AH,-117.32750,33.14250,0.00225,6.62560957312962
25,2018-04-18 06:30:24,8.730714985,0,243.6896139,13.7081,33.5731,5.974,1524033024,AH,-117.32750,33.14250,0.00225,6.58880912003196
26,2018-04-18 07:00:25,8.722918137,0,239.2082586,13.5712,33.5624,5.881,1524034825,AH,-117.32750,33.14250,0.00225,6.50668544178978
27,2018-04-18 07:30:25,8.720644811,0,236.2811986,13.4748,33.5674,5.8,1524036625,AH,-117.32750,33.14250,0.00225,6.47503858200229
28,2018-04-18 08:00:24,8.728333003,0,241.9007463,13.8279,33.5365,5.628,1524038424,AH,-117.32750,33.14250,0.00225,6.58947294796713
29,2018-04-18 08:30:25,8.753423351,0,246.7476213,14.3175,33.567,5.464,1524040225,AH,-117.32750,33.14250,0.00225,6.86602056479502
30,2018-04-18 09:00:25,8.764528745,0,249.9689287,14.5472,33.5708,5.33,1524042025,AH,-117.32750,33.14250,0.00225,6.99085409403044
31,2018-04-18 09:30:24,8.767624303,0,250.526955,14.6463,33.5588,5.153,1524043824,AH,-117.32750,33.14250,0.00225,7.03182408056868
32,2018-04-18 10:01:13,8.757652446,0,245.61221,14.614,33.5984,5.052,1524045673,AH,-117.32750,33.14250,0.00225,6.94988617235953
33,2018-04-18 10:31:42,8.765953576,0,249.1242921,14.6861,33.5712,4.874,1524047502,AH,-117.32750,33.14250,0.00225,7.02760255856165
34,2018-04-18 11:02:22,8.769322304,0,249.2598074,14.7293,33.582,4.707,1524049342,AH,-117.32750,33.14250,0.00225,7.06296175815231
35,2018-04-18 12:30:24,8.749507794,0,243.634133,14.5747,33.5732,4.462,1524054624,AH,-117.32750,33.14250,0.00225,6.88323290660359
36,2018-04-18 13:00:25,8.747747892,0,242.9471216,14.5912,33.5718,4.316,1524056425,AH,-117.32750,33.14250,0.00225,6.87295509114316
37,2018-04-18 14:00:24,8.757431144,0,244.2868863,14.7438,33.5704,4.27,1524060024,AH,-117.32750,33.14250,0.00225,6.9739153277325
38,2018-04-18 14:30:25,8.755890313,0,244.0088383,14.7564,33.5491,4.26,1524061825,AH,-117.32750,33.14250,0.00225,6.96284008729315
39,2018-04-18 15:00:25,8.768110349,0,245.1749748,14.9003,33.5725,4.31,1524063625,AH,-117.32750,33.14250,0.00225,7.0828170817788
40,2018-04-18 15:30:24,8.754379312,0,243.0303692,14.8135,33.558,4.361,1524065424,AH,-117.32750,33.14250,0.00225,6.95899620471781
41,2018-04-18 16:00:25,8.746798883,0,249.1764141,14.125,33.6171,4.518,1524067225,AH,-117.32750,33.14250,0.00225,6.79419099989609
42,2018-04-18 16:30:25,8.721297231,0,250.3061627,13.1299,33.5972,4.687,1524069025,AH,-117.32750,33.14250,0.00225,6.43883126391565
43,2018-04-18 17:30:25,8.733899504,0,245.1737487,13.2947,33.5897,5.039,1524072625,AH,-117.32750,33.14250,0.00225,6.56017871218495
44,2018-04-18 18:00:25,8.742922966,0,244.1629261,13.4322,33.5956,5.138,1524074425,AH,-117.32750,33.14250,0.00225,6.65192024942282
45,2018-04-18 18:30:27,8.754236192,0,245.0762748,13.6314,33.5831,5.29,1524076227,AH,-117.32750,33.14250,0.00225,6.77011143641098
46,2018-04-18 19:00:53,8.758412618,0,247.7903941,13.6979,33.5876,5.34,1524078053,AH,-117.32750,33.14250,0.00225,6.81312948401903
47,2018-04-18 19:31:41,8.761222532,0,248.7055037,13.7137,33.5971,5.317,1524079901,AH,-117.32750,33.14250,0.00225,6.83842963147171
48,2018-04-18 20:30:25,8.775797848,0,254.5241239,13.8861,33.5889,5.252,1524083425,AH,-117.32750,33.14250,0.00225,6.98075233271138
49,2018-04-18 21:00:25,8.772107253,0,253.4677959,13.8864,33.5891,5.178,1524085225,AH,-117.32750,33.14250,0.00225,6.95215193210022
50,2018-04-18 21:30:24,8.773898517,0,253.5896142,13.9145,33.5907,5.079,1524087024,AH,-117.32750,33.14250,0.00225,6.97162926498935
51,2018-04-18 22:00:25,8.788490182,0,260.6486324,14.1461,33.5796,4.981,1524088825,AH,-117.32750,33.14250,0.00225,7.12344165918523
52,2018-04-18 23:30:25,8.791657403,0,267.5997395,14.798,33.5827,4.734,1524094225,AH,-117.32750,33.14250,0.00225,7.25094308093838
53,2018-04-19 00:00:25,8.783167192,0,263.4731467,14.5566,33.5988,4.682,1524096025,AH,-117.32750,33.14250,0.00225,7.14746280292148
54,2018-04-19 00:30:24,8.790290925,0,265.9330663,14.8261,33.5767,4.68,1524097824,AH,-117.32750,33.14250,0.00225,7.2447005058643
55,2018-04-19 01:00:25,8.786572669,0,265.233812,14.7521,33.5898,4.658,1524099625,AH,-117.32750,33.14250,0.00225,7.20444233159018
56,2018-04-19 01:30:25,8.789983122,0,266.114059,14.7757,33.5894,4.701,1524101425,AH,-117.32750,33.14250,0.00225,7.23475670322392
57,2018-04-19 02:00:24,8.796166595,0,269.8746052,14.9724,33.5902,4.755,1524103224,AH,-117.32750,33.14250,0.00225,7.31361096020948
58,2018-04-19 03:00:25,8.794869813,0,271.5064249,15.0254,33.5676,4.981,1524106825,AH,-117.32750,33.14250,0.00225,7.30858350411195
59,2018-04-19 03:30:24,8.780905762,0,264.721799,15.0074,33.5855,5.112,1524108624,AH,-117.32750,33.14250,0.00225,7.19429267110321
60,2018-04-19 04:01:12,8.772495258,0,257.4570963,14.8837,33.6021,5.293,1524110472,AH,-117.32750,33.14250,0.00225,7.10734057146745
61,2018-04-19 05:30:25,8.793826244,0,259.097442,14.6832,33.596,5.69,1524115825,AH,-117.32750,33.14250,0.00225,7.24205405862827
62,2018-04-19 06:00:25,8.791100307,0,258.1773377,14.6454,33.5966,5.79,1524117625,AH,-117.32750,33.14250,0.00225,7.21373072664718
63,2018-04-19 06:30:24,8.78866314,0,255.7857021,14.613,33.605,5.844,1524119424,AH,-117.32750,33.14250,0.00225,7.18922718755352
64,2018-04-19 07:00:25,8.785811531,0,255.2522802,14.6641,33.5974,5.898,1524121225,AH,-117.32750,33.14250,0.00225,7.17368045885203
65,2018-04-19 07:30:25,8.782803596,0,253.9356886,14.6357,33.5998,5.844,1524123025,AH,-117.32750,33.14250,0.00225,7.14604086708664
66,2018-04-19 08:00:24,8.785512093,0,253.868168,14.5973,33.6045,5.686,1524124824,AH,-117.32750,33.14250,0.00225,7.16326867353986
67,2018-04-19 08:30:25,8.77734408,0,249.804217,14.5916,33.6052,5.578,1524126625,AH,-117.32750,33.14250,0.00225,7.09856387274053
68,2018-04-19 09:00:25,8.781766483,0,251.5573738,14.7592,33.6101,5.468,1524128425,AH,-117.32750,33.14250,0.00225,7.16058156830185
69,2018-04-19 09:30:24,8.794237696,0,257.6682184,15.066,33.5962,5.373,1524130224,AH,-117.32750,33.14250,0.00225,7.30710185653203
